city,sunrise,sunset,sunriseTime,sunsetTime
Juneau,1899-12-31T08:44:00Z,1899-12-31T15:07:00Z,08:44:00,15:07:00
Ketchikan,1899-12-31T08:12:00Z,1899-12-31T15:17:00Z,08:12:00,15:17:00
Anchorage,1899-12-31T10:14:00Z,1899-12-31T15:41:00Z,10:14:00,15:41:00
Fairbanks,1899-12-31T10:58:00Z,1899-12-31T14:39:00Z,10:58:00,14:39:00
Nome,1899-12-31T12:02:00Z,1899-12-31T15:57:00Z,12:02:00,15:57:00
Bethel,1899-12-31T10:56:00Z,1899-12-31T16:33:00Z,10:56:00,16:33:00
Unalaska,1899-12-31T10:22:00Z,1899-12-31T17:45:00Z,10:22:00,17:45:00
Adak,1899-12-31T10:51:00Z,1899-12-31T18:37:00Z,10:51:00,18:37:00
Dillingham,1899-12-31T10:27:00Z,1899-12-31T16:37:00Z,10:27:00,16:37:00
Homer,1899-12-31T10:04:00Z,1899-12-31T16:03:00Z,10:04:00,16:03:00
Attu,1899-12-31T11:39:00Z,1899-12-31T19:14:00Z,11:39:00,19:14:00
Sitka,1899-12-31T08:38:00Z,1899-12-31T15:20:00Z,08:38:00,15:20:00
Metlakatla,1899-12-31T08:10:00Z,1899-12-31T15:18:00Z,08:10:00,15:18:00
Kodiak,1899-12-31T09:52:00Z,1899-12-31T16:23:00Z,09:52:00,16:23:00
Huslia,1899-12-31T11:51:00Z,1899-12-31T14:55:00Z,11:51:00,14:55:00
Wales,1899-12-31T12:36:00Z,1899-12-31T15:44:00Z,12:36:00,15:44:00
Shishmaref,1899-12-31T12:46:00Z,1899-12-31T15:18:00Z,12:46:00,15:18:00
Gambell,1899-12-31T12:15:00Z,1899-12-31T16:34:00Z,12:15:00,16:34:00
Fort Yukon,1899-12-31T11:34:00Z,1899-12-31T13:44:00Z,11:34:00,13:44:00
Diomede,1899-12-31T12:44:00Z,1899-12-31T15:43:00Z,12:44:00,15:43:00
